P#,NV,Dual,TV,BV
1,3.391994456467505,3.7573499771654086,4.077519924369335,3.914821656887024
2,4.085826511872299,5.055928283215644,3.675898804,3.567156288422438
3,3.8630714677101854,3.9175975163384615,3.3934767783500637,5.167771001497382
4,3.9288231468842927,3.4277318276581314,3.8766944192386417,3.3453215730080683
5,2.7520863287518176,2.9473756899514405,3.2660753963953573,2.8166198423707653
6,3.995033889340888,3.5093036899107375,3.9627284980710895,4.981990197509921
7,3.4885302246844923,3.5168982513847857,3.3838976064272557,5.146221494609878
8,3.9483287372785107,3.868504363132937,4.833823697,4.9653893503159106
9,8.451199439858993,8.097245613,8.294665581029948,8.501120184516118
10,2.3374403890117024,2.6309776895464214,3.284418112530563,2.6179471842218516
11,3.7847335302517124,4.789208758332705,3.246386455921682,4.484951868884868
12,2.6044537342309564,2.389242956852457,2.502381814409551,3.1102191785319335
13,4.990946449177353,4.540785143,4.1391776364983786,4.159358950042137
14,4.369406556688352,4.467409131499727,4.997724898896353,4.644462744502948
15,3.3405264170816493,3.439364587,3.703797606389265,2.9998162341057135
