P#,NV,Dual,TV,BV
1,64.74007016782512,54.37664891666865,54.67672453,54.51499519
2,57.49073532136844,59.04576206166749,58.48688577716028,56.904226340752714
3,46.821142502876704,43.865205386594205,46.24388246958657,40.766036972539695
4,49.73474974097159,49.34363666330518,49.57861581536052,45.55678424111621
5,51.72963198930131,46.72449824343241,49.414502779761996,47.44098027977195
6,41.5440589,35.78314629560224,39.300284332761656,32.568952602795605
7,57.91949455256729,51.03890929076683,60.09477162570054,44.28639910306711
8,40.607919525158344,38.04820684639458,41.644564796638946,36.64764154573867
9,43.25367472125728,40.66981944716352,43.319467889612504,40.16754231203076
10,48.65007087997135,52.13880925638207,50.70249432,46.63608241066629
11,57.27564485402567,49.40747116,52.95517682852016,49.91923172745155
12,43.49484859934958,40.29386367124786,48.238123596170176,36.22150581698945
13,60.27006889229266,49.65266036,59.90753583058335,48.676582591218285
14,41.223195536107916,41.24702000877173,44.16338210853773,36.84290029607166
15,41.534106299537875,41.87505606172862,44.29091971850243,41.60920598955715
